1934383,4.86,41,29.0,12.0,38.50,-14.10,309.05,-66.24,0.52,8.73,4.67,5.92,"
4.86
",100
1567370,783.86,12 488,9028.0,3460.0,171.99,-104.88,8 847.71,-5 943.47,0.05,4.54,1.49,0.23,"
54.27
",99
1924359,26.34,286,264.0,22.0,60.30,-50.80,3 960.26,-286.00,0.87,26.95,13.85,12.85,"
26.34
",0
1782787,1.53,141,126.0,15.0,20.20,-120.34,920.58,-874.65,0.04,0.26,1.05,0.33,"
0.90
",100
1392156,457.11,1 331,941.0,390.0,142.44,-196.55,4 257.32,-3 862.10,0.03,0.54,1.10,0.30,"
-1.38
",97
1831749,447.96,210,143.0,67.0,844.11,-111.74,2 739.86,-1 178.61,0.12,4.50,2.32,7.43,"
61.08
",76
1906625,1.83,840,518.0,322.0,162.72,-375.05,5 734.73,-5 464.59,0.01,0.14,1.05,0.32,"
-6.23
",98
1925054,11.85,25,20.0,5.0,14 911.00,-4 431.00,134 366.00,-11 264.00,0.95,27.78,11.93,4 924.08,"
11.85
",96
1934235,7.24,224,142.0,82.0,407.98,-95.37,1 623.69,-899.96,0.10,1.58,1.80,3.23,"
7.24
",100
1800286,112.68,1 200,734.0,466.0,253.49,-666.59,8 044.87,-7 992.97,0.00,0.03,1.01,0.04,"
28.78
",95
1193307,7.66,5 506,4138.0,1368.0,77.17,-261.72,15 602.10,-9 786.34,0.11,7.18,1.59,1.06,"
-4.52
",99
951901,1 083.00,3 222,2734.0,488.0,373.11,-575.13,25 949.84,-17 122.72,0.08,3.32,1.52,2.74,"
7.41
",0
1619232,445.44,2 357,1712.0,645.0,305.79,-78.55,7 960.99,-4 802.05,0.08,7.56,1.66,1.34,"
7.78
",100
1690734,497.32,589,428.0,161.0,1 470.24,-533.28,18 374.21,-9 693.85,0.14,5.30,1.90,14.74,"
14.72
",100
1833611,37.08,254,206.0,48.0,18.07,-60.32,265.92,-181.03,0.13,1.14,1.47,0.33,"
14.38
",92
1724178,2 935.63,4 819,4657.0,162.0,67.43,-349.71,5 936.21,-2 408.62,0.20,5.05,2.46,0.73,"
-19.85
",0
1768046,331.26,1 066,752.0,314.0,416.53,-51.38,4 988.90,-1 857.11,0.18,20.29,2.69,2.94,"
52.32
",97
1851948,354.91,231,202.0,29.0,146.40,-411.95,6 393.95,-4 813.02,0.07,2.34,1.33,6.84,"
60.66
",0
1779237,62.27,57,56.0,1.0,8.93,-0.37,213.43,-2.73,1.69,468.22,78.18,3.70,"
3.17
",0
1746643,11.63,325,260.0,65.0,23.07,-31.56,573.24,-542.05,0.04,0.14,1.06,0.10,"
15.61
",100
1929195,-1.15,31,9.0,22.0,21.06,-9.29,87.13,-105.10,-0.06,-0.53,0.83,-0.58,"
-1.15
",96
1749282,68.90,995,753.0,242.0,53.90,-12.69,2 992.56,-704.53,0.43,19.68,4.25,2.30,"
12.48
",100
1815155,3.05,40,40.0,0.0,3.14,0.00,30.48,0.00,1.25,0.00,n/a,0.76,"
0.65
",100
1812873,131.09,18 824,13489.0,5335.0,1 281.03,-1 959.40,617 364.69,-487 340.19,-0.01,2.12,1.27,6.91,"
25.08
",99
1764505,89.87,221,108.0,113.0,4.32,-2.11,82.53,-64.25,0.15,3.17,1.28,0.08,"
25.33
",100
1907018,-6.94,18,14.0,4.0,1.19,-11.15,6.29,-13.23,-0.12,-0.58,0.48,-0.39,"
-10.30
",100
1921457,194.98,245,208.0,37.0,27.64,-20.30,1 781.34,-225.38,0.66,12.98,7.90,6.35,"
3.02
",35
1879734,3.88,12,10.0,2.0,8.86,-7.84,48.34,-9.51,0.73,4.08,5.08,3.24,"
2.86
",100
1894941,43.07,174,136.0,38.0,85.79,-91.26,583.45,-295.47,0.13,3.16,1.97,1.66,"
19.57
",85
1721872,2 760.84,419,411.0,8.0,68.40,-7.79,2 225.72,-32.52,0.71,279.03,68.44,5.23,"
31.58
",0
1896832,0.42,40,33.0,7.0,0.76,-0.05,2.67,-0.16,0.47,50.20,16.69,0.06,"
0.23
",100
1936700,6.71,33,26.0,7.0,87.36,-23.86,566.46,-38.50,0.74,21.51,14.71,16.00,"
6.71
",90
1526569,91.05,1 178,939.0,239.0,8 947.31,-8 149.30,156 439.92,-110 902.36,0.06,5.59,1.41,38.66,"
4.45
",100
1549399,36.90,758,732.0,26.0,18 306.00,-301 451.00,2 338 654.00,-770 055.00,0.12,2.76,3.04,2 069.39,"
1.23
",0
1078866,230.42,4 714,3278.0,1436.0,494.09,-60.30,18 837.44,-8 764.05,0.09,19.26,2.15,2.14,"
2.75
",99
1876890,23.32,1 029,659.0,370.0,3 290.53,-22 150.66,183 112.46,-119 035.92,0.03,1.62,1.54,62.27,"
29.98
",97
1921347,314.27,746,610.0,136.0,72 640.00,-16 143.50,599 725.43,-127 540.08,0.04,14.39,4.70,632.96,"
18.85
",7
1931121,8.56,221,167.0,54.0,9.84,-9.31,220.49,-134.87,0.16,5.00,1.63,0.39,"
8.56
",94
1611616,279.63,4 420,3432.0,988.0,254.81,-242.27,12 190.59,-7 463.27,0.09,18.88,1.63,1.07,"
6.59
",99
1876748,43.38,1 168,895.0,273.0,9 424.23,-3 981.42,182 986.35,-78 456.04,0.18,11.97,2.33,89.50,"
14.98
",96
1814681,4.77,38,37.0,1.0,23.82,-1.00,240.88,-3.43,1.21,237.45,70.23,6.25,"
0.47
",100
1407665,259.89,2 051,1537.0,514.0,336.65,-420.89,33 736.92,-19 428.03,0.12,21.80,1.74,6.98,"
5.10
",98
1745263,13.69,187,166.0,21.0,1.59,-4.07,56.61,-49.80,0.10,0.58,1.14,0.04,"
-3.96
",100
1381093,54.85,23 718,18203.0,5515.0,24 988.11,-9 877.12,531 012.61,-413 888.36,0.01,1.60,1.28,4.94,"
2.55
",99
1838011,188.54,1 838,1308.0,530.0,886.44,-1 029.57,9 444.63,-6 053.32,0.08,2.13,1.56,1.85,"
5.23
",99
