Signal Id,Trades,ProfitTrades,LossTrades,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,AlgoTrading
1815102,147,115.0,32.0,2 033.56,-8 025.38,17 913.19,-20 908.93,-0.13,-0.30,0.86,-20.38,100
1843087,560,411.0,149.0,69.52,-20.91,1 322.49,-599.58,0.20,9.12,2.21,1.29,98
1828093,147,126.0,21.0,29.47,-19.40,474.54,-113.08,0.49,18.63,4.20,2.46,0
1805452,152,129.0,23.0,23.43,-31.73,348.02,-79.43,0.33,8.46,4.38,1.77,0
1789589,1 272,964.0,308.0,2 257.92,-832.80,20 774.46,-12 670.78,0.08,3.39,1.64,6.37,100
1708098,337,197.0,140.0,53.94,-22.64,886.16,-561.05,0.16,3.27,1.58,0.96,100
1202927,1 229,809.0,420.0,23.20,-42.66,1 827.82,-1 454.10,0.10,1.43,1.26,0.30,87
1713835,279,205.0,74.0,10.34,-34.76,220.51,-196.92,0.08,0.24,1.12,0.08,100
1648082,1 499,1100.0,399.0,39.76,-43.31,4 748.45,-2 930.69,0.15,41.97,1.62,1.21,97
1880838,129,73.0,56.0,20.01,-18.44,334.21,-198.95,0.19,1.82,1.68,1.05,0
1878904,95,68.0,27.0,166.02,-42.62,1 500.80,-251.96,0.49,11.04,5.96,13.15,0
1831201,608,544.0,64.0,163.05,-181.14,6 570.65,-2 604.86,0.28,3.32,2.52,6.52,0
1802210,796,543.0,253.0,175.19,-77.68,4 303.46,-1 526.84,0.20,31.44,2.82,3.49,100
1757335,329,266.0,63.0,412.29,-130.50,5 509.83,-2 558.11,0.27,16.71,2.15,8.97,100
1871277,136,84.0,52.0,24.94,-17.12,388.24,-273.39,0.15,1.25,1.42,0.84,0
1829136,347,252.0,95.0,81.46,-18.97,1 202.76,-526.83,0.21,6.15,2.28,1.95,75
1771966,800,515.0,285.0,111.64,-32.94,3 279.55,-1 862.36,0.16,3.20,1.76,1.77,100
1527809,1 579,1142.0,437.0,878.00,-477.14,21 090.61,-13 936.51,0.07,4.45,1.51,4.53,90
1071496,10 425,7361.0,3064.0,1 455.30,-228.78,34 576.04,-20 327.24,0.04,9.76,1.70,1.37,100
1266385,5 500,3565.0,1935.0,7.28,-9.45,2 088.24,-1 920.82,0.05,1.38,1.09,0.03,99
1689186,553,417.0,136.0,189.77,-63.87,3 563.64,-1 869.69,0.19,10.55,1.91,3.06,97
1735923,767,593.0,174.0,42.31,-61.24,3 469.13,-3 052.51,0.07,1.20,1.14,0.54,99
762818,1 402,687.0,715.0,529.97,-526.13,80 693.61,-72 886.62,0.07,1.45,1.11,5.57,99
1711692,1 460,1093.0,367.0,197.42,-58.58,3 069.79,-1 175.05,0.15,13.29,2.61,1.30,99
1790385,271,205.0,66.0,985.05,-580.33,14 818.84,-6 671.30,0.31,8.84,2.22,30.06,98
1759163,634,357.0,277.0,7 925.75,-8 061.00,208 042.20,-155 873.54,0.08,2.73,1.33,82.28,0
1851320,324,253.0,71.0,19.35,-18.81,450.79,-185.91,0.26,11.16,2.42,0.82,46
1731012,4 216,2405.0,1811.0,327.50,-89.39,11 997.24,-6 920.19,0.09,13.63,1.73,1.20,99
810657,33 649,27863.0,5786.0,445.00,-1 228.00,440 335.00,-392 436.00,0.02,4.88,1.12,1.42,99
1067812,467,341.0,126.0,18.86,-13.53,276.70,-155.68,0.22,4.02,1.78,0.26,99
1838707,173,123.0,50.0,88.33,-95.63,1 761.67,-840.99,0.23,6.13,2.09,5.32,98
1907548,227,150.0,77.0,68.16,-27.09,1 416.08,-586.71,0.31,5.11,2.41,3.65,"
68.16 USD
                    "
865902,3 838,2908.0,930.0,86.89,-87.12,13 174.19,-6 578.04,0.19,8.30,2.00,1.72,76
1365004,1 802,1631.0,171.0,211.59,-129.32,5 358.80,-2 444.73,0.15,9.87,2.19,1.62,98
1416781,2 514,1994.0,520.0,248.91,-93.66,7 364.90,-4 470.51,0.11,12.25,1.65,1.15,100
1841158,162,121.0,41.0,131.76,-29.13,1 015.91,-356.77,0.29,5.90,2.85,4.07,95
1825144,968,672.0,296.0,202.44,-207.36,12 164.26,-10 188.37,0.06,1.58,1.19,2.04,93
1765418,594,418.0,176.0,159.60,-76.90,2 321.82,-1 524.61,0.14,3.86,1.52,1.34,98
1694904,4 451,3053.0,1398.0,101.48,-143.03,25 541.54,-21 183.82,-0.01,5.82,1.21,0.98,98
1797249,166,137.0,29.0,6.50,-72.13,126.80,-186.60,-0.04,-0.43,0.68,-0.36,100
85278,710,571.0,139.0,151.90,-72.64,3 082.65,-2 904.89,0.06,0.27,1.06,0.25,99
1733248,242,175.0,67.0,164.04,-88.16,2 075.62,-740.59,0.24,4.72,2.80,5.52,100
1829290,650,508.0,142.0,263.70,-246.30,17 031.91,-5 636.71,0.33,14.13,3.02,17.53,54
991766,4 168,2761.0,1407.0,1 356.00,-384.00,202 601.01,-187 103.02,0.02,1.47,1.08,3.72,100
1808069,361,300.0,61.0,746.83,-2 944.33,24 311.12,-8 739.69,0.29,3.49,2.78,43.13,42
1905017,906,729.0,177.0,48.74,-119.50,2 313.18,-1 603.73,0.12,1.56,1.44,0.78,0
1833165,941,702.0,239.0,277.88,-153.27,8 300.62,-4 106.19,0.15,9.19,2.02,4.46,99
1625519,639,466.0,173.0,695.29,-218.26,7 718.01,-4 816.80,0.10,3.55,1.60,4.54,99
1721298,121,86.0,35.0,698.79,-443.95,7 551.32,-4 450.05,0.19,2.85,1.70,25.63,95
1863393,92,49.0,43.0,165.20,-24.00,866.08,-354.15,0.25,4.56,2.45,5.56,0
1774483,5 497,3667.0,1830.0,213.54,-242.76,30 671.08,-24 509.92,0.09,3.03,1.25,1.12,99
1759237,720,544.0,176.0,36.20,-366.94,2 116.24,-1 678.74,0.15,1.19,1.26,0.61,83
1800209,1 330,733.0,597.0,604.80,-602.20,32 779.44,-28 002.44,0.06,6.44,1.17,3.59,0
1755222,1 535,1190.0,345.0,22.28,-29.31,2 348.86,-1 404.13,0.14,32.23,1.67,0.62,99
1684879,1 022,771.0,251.0,585.66,-452.98,7 935.05,-6 200.03,0.05,1.06,1.28,1.70,98
1774499,6 425,4312.0,2113.0,580.85,-1 585.85,64 802.11,-57 426.32,0.06,1.21,1.13,1.15,99
1841341,120,89.0,31.0,188.63,-118.69,1 036.66,-329.00,-0.08,5.04,3.15,5.90,8
1528382,6 341,4252.0,2089.0,60.62,-50.83,5 348.70,-4 050.00,0.09,4.63,1.32,0.20,100
1915165,443,235.0,208.0,303.64,-39.38,4 866.01,-3 528.51,0.12,2.87,1.38,3.02,31
1584829,473,391.0,82.0,155.65,-172.57,5 505.63,-1 701.44,0.35,15.08,3.24,8.04,100
1735949,1 945,1619.0,326.0,45.61,-114.00,6 381.87,-2 762.52,0.26,4.45,2.31,1.86,97
1774608,1 999,1538.0,461.0,156.17,-113.40,6 288.95,-3 186.36,0.18,4.53,1.97,1.55,98
1908555,885,618.0,267.0,76.62,-65.73,7 107.66,-4 170.82,0.24,8.43,1.70,3.32,0
1795088,355,258.0,97.0,138.96,-49.08,2 168.51,-780.48,0.25,13.54,2.78,3.91,77
1856475,227,175.0,52.0,14.33,-7.48,268.12,-113.76,0.35,10.89,2.36,0.68,92
1613282,294,202.0,92.0,46.20,-20.13,1 061.28,-477.74,0.24,11.43,2.22,1.98,63
1826332,210,169.0,41.0,26.37,-18.07,650.47,-280.86,0.30,3.32,2.32,1.76,100
1729960,184,161.0,23.0,21.67,-54.22,423.51,-288.83,0.12,1.86,1.47,0.73,0
1840643,573,381.0,192.0,27.48,-20.40,1 289.37,-755.53,0.18,6.06,1.71,0.93,0
1803247,448,375.0,73.0,4 534.39,-1 058.82,38 218.46,-19 308.58,0.13,4.82,1.98,42.21,100
1080741,1 741,1173.0,568.0,123.83,-217.88,11 026.77,-7 934.11,0.11,3.57,1.39,1.78,93
1864807,4 091,2357.0,1734.0,3 097.90,-2 911.16,125 709.36,-93 472.19,0.04,6.00,1.34,7.88,99
1822481,334,264.0,70.0,1 082.69,-937.20,10 786.03,-5 267.96,0.13,2.88,2.05,16.52,72
1768504,554,395.0,159.0,1 157.20,-327.12,14 999.88,-8 906.66,0.13,5.11,1.68,11.00,100
